Era,Japanese Calendar Year,year,Age Group (5-year intervals),Total Population,Male Population,Female Population
Taisho,9,1920,Total,55963053,28044185,27918868
Taisho,9,1920,0~4old,7457715,3752627,3705088
Taisho,9,1920,5~9old,6856920,3467156,3389764
Taisho,9,1920,10~14old,6101567,3089225,3012342
Taisho,9,1920,15~19old,5419057,2749022,2670035
Taisho,9,1920,20~24old,4609310,2316479,2292831
Taisho,9,1920,25~29old,3923949,2008005,1915944
Taisho,9,1920,30~34old,3609450,1833443,1776007
Taisho,9,1920,35~39old,3410738,1707771,1702967
Taisho,9,1920,40~44old,3243764,1640254,1603510
Taisho,9,1920,45~49old,2658567,1340404,1318163
Taisho,9,1920,50~54old,2234762,1122240,1112522
Taisho,9,1920,55~59old,1840093,912085,928008
Taisho,9,1920,60~64old,1655805,803033,852772
Taisho,9,1920,65~69old,1312537,614479,698058
Taisho,9,1920,70~74old,896618,399540,497078
Taisho,9,1920,75~79old,482012,198253,283759
Taisho,9,1920,80~84old,174183,65473,108710
Taisho,9,1920,85oldmore,76006,24696,51310
Taisho,14,1925,Total,59736822,30013109,29723713
Taisho,14,1925,0~4old,8264583,4160479,4104104
Taisho,14,1925,5~9old,6924432,3491171,3433261
Taisho,14,1925,10~14old,6735030,3410991,3324039
Taisho,14,1925,15~19old,5885277,2988370,2896907
Taisho,14,1925,20~24old,5060527,2574799,2485728
Taisho,14,1925,25~29old,4393471,2256502,2136969
Taisho,14,1925,30~34old,3716087,1920177,1795910
Taisho,14,1925,35~39old,3449377,1768538,1680839
Taisho,14,1925,40~44old,3221765,1624224,1597541
Taisho,14,1925,45~49old,3055149,1539488,1515661
Taisho,14,1925,50~54old,2450903,1223831,1227072
Taisho,14,1925,55~59old,1990817,981235,1009582
Taisho,14,1925,60~64old,1568341,754000,814341
Taisho,14,1925,65~69old,1294340,601475,692865
Taisho,14,1925,70~74old,919180,403555,515625
Taisho,14,1925,75~79old,523014,213632,309382
Taisho,14,1925,80~84old,215834,79096,136738
Taisho,14,1925,85oldmore,68695,21546,47149
Showa,5,1930,Total,64450005,32390155,32059850
Showa,5,1930,0~4old,9011135,4543442,4467693
Showa,5,1930,5~9old,7767085,3914786,3852299
Showa,5,1930,10~14old,6801045,3436560,3364485
Showa,5,1930,15~19old,6539604,3318663,3220941
Showa,5,1930,20~24old,5531506,2815406,2716100
Showa,5,1930,25~29old,4835634,2480757,2354877
Showa,5,1930,30~34old,4213665,2175040,2038625
Showa,5,1930,35~39old,3584833,1856905,1727928
Showa,5,1930,40~44old,3286478,1687934,1598544
Showa,5,1930,45~49old,3046263,1525157,1521106
Showa,5,1930,50~54old,2830694,1410576,1420118
Showa,5,1930,55~59old,2216103,1085866,1130237
Showa,5,1930,60~64old,1722085,820315,901770
Showa,5,1930,65~69old,1255830,577193,678637
Showa,5,1930,70~74old,926601,403984,522617
Showa,5,1930,75~79old,551718,222451,329267
Showa,5,1930,80~84old,245461,89183,156278
Showa,5,1930,85oldmore,84265,25937,58328
Showa,10,1935,Total,69254148,34734133,34520015
Showa,10,1935,0~4old,9328501,4714001,4614500
Showa,10,1935,5~9old,8531419,4303263,4228156
Showa,10,1935,10~14old,7685247,3876774,3808473
Showa,10,1935,15~19old,6640917,3350713,3290204
Showa,10,1935,20~24old,6071071,3036783,3034288
Showa,10,1935,25~29old,5240083,2670248,2569835
Showa,10,1935,30~34old,4632637,2379492,2253145
Showa,10,1935,35~39old,4045846,2093446,1952400
Showa,10,1935,40~44old,3406011,1767627,1638384
Showa,10,1935,45~49old,3112834,1591179,1521655
Showa,10,1935,50~54old,2832875,1404376,1428499
Showa,10,1935,55~59old,2571137,1255092,1316045
Showa,10,1935,60~64old,1930611,916820,1013791
Showa,10,1935,65~69old,1387092,630008,757084
Showa,10,1935,70~74old,913423,394223,519200
Showa,10,1935,75~79old,561804,224829,336975
Showa,10,1935,80~84old,263979,95043,168936
Showa,10,1935,85oldmore,98661,30216,68445
Showa,15,1940,Total,73075071,36540561,36534510
Showa,15,1940,0~4old,9128009,4619512,4508497
Showa,15,1940,5~9old,8833598,4463439,4370159
Showa,15,1940,10~14old,8407101,4242585,4164516
Showa,15,1940,15~19old,7409277,3717483,3691794
Showa,15,1940,20~24old,6103653,3057395,3046258
Showa,15,1940,25~29old,5653184,2837267,2815917
Showa,15,1940,30~34old,4947256,2507243,2440013
Showa,15,1940,35~39old,4422887,2260747,2162140
Showa,15,1940,40~44old,3834058,1976906,1857152
Showa,15,1940,45~49old,3207212,1649661,1557551
Showa,15,1940,50~54old,2887219,1456632,1430587
Showa,15,1940,55~59old,2559541,1240737,1318804
Showa,15,1940,60~64old,2227412,1049207,1178205
Showa,15,1940,65~69old,1555162,702545,852617
Showa,15,1940,70~74old,994906,421186,573720
Showa,15,1940,75~79old,546408,215952,330456
Showa,15,1940,80~84old,254127,90602,163525
Showa,15,1940,85oldmore,103099,31023,72076
Showa,20,1945,Total,71998104,33894059,38104045
Showa,20,1945,0~4old,9250418,4682797,4567621
Showa,20,1945,5~9old,8581401,4338961,4242440
Showa,20,1945,10~14old,8645267,4365844,4279423
Showa,20,1945,15~19old,7820530,3849481,3971049
Showa,20,1945,20~24old,5464684,2024120,3440564
Showa,20,1945,25~29old,4415159,1603664,2811495
Showa,20,1945,30~34old,4447337,1805587,2641750
Showa,20,1945,35~39old,4307705,1982773,2324932
Showa,20,1945,40~44old,4090208,2046909,2043299
Showa,20,1945,45~49old,3586926,1829696,1757230
Showa,20,1945,50~54old,2948808,1506234,1442574
Showa,20,1945,55~59old,2597278,1289547,1307731
Showa,20,1945,60~64old,2142268,1005064,1137204
Showa,20,1945,65~69old,1732394,775188,957206
Showa,20,1945,70~74old,1095138,462867,632271
Showa,20,1945,75~79old,551891,214842,337049
Showa,20,1945,80~84old,236741,84073,152668
Showa,20,1945,85oldmore,83951,26412,57539
Showa,25,1950,Total,84114574,41241192,42873382
Showa,25,1950,0~4old,11350580,5792551,5558029
Showa,25,1950,5~9old,9624478,4877311,4747167
Showa,25,1950,10~14old,8811354,4456939,4354415
Showa,25,1950,15~19old,8669445,4367794,4301651
Showa,25,1950,20~24old,7804536,3871815,3932721
Showa,25,1950,25~29old,6246288,2847983,3398305
Showa,25,1950,30~34old,5254401,2382599,2871802
Showa,25,1950,35~39old,5095018,2396611,2698407
Showa,25,1950,40~44old,4525471,2217547,2307924
